Author Name,Books Amount
Opal Carew and others,1
Julia Kent,1
Elizabeth Cobbs,1
Ruth Cardello,1
Olen Steinhauer,1
Leylah Attar,1
Kate Atkinson,1
SL Jennings,1
PT Michelle,1
Jess Walter,1
"Mandy M Roth, Michelle M Pillow and others",1
Jo Nesbo,1
Lene Kaaberbol,1
Jenny Colgan,1
James Donovan,1
Jana DeLeon,1
Tina Leonard,1
Lorelei James,1
Ted Bell,1
Geneva Lee,1
Sydney Landon,1
Kristen Callihan,1
"Diane Capri, J Carson Black and others",1
Jasmine Walt and Rebecca Hamilton,1
Lauren Layne,1
Mark Gimenez,1
Whitney Gracia Williams,1
Sara Gruen,1
Brad Meltzer and Tod Goldberg,1
Kimberly McCreight,1
J A Huss,1
Allison Brennan,1
Mary Ann Shaffer and Annie Barrows,1
B A Paris,1
SL Scott,1
Anna Zaires and Dima Zales,1
Stacy Borel,1
Anne Rivers Siddons,1
James S A Corey,1
Yangsze Choo,1
Tara Conklin,1
Dennis Lehane,1
Jane Smiley,1
Mary Kubica,1
RaeAnne Thayne,1
Chris Cleave,1
Melanie Benjamin,1
Ginny Baird,1
Bryan Reardon,1
C D Reiss,1
Lisa Jewell,1
James Patterson with Max DiLallo,1
Alan Bradley,1
Jessica Wood,1
Stephanie Laurens,1
Melanie Moreland,1
Katy Regnery,1
Stuart Woods and Parnell Hall,1
"Delilah Devlin, Sharon Hamilton and others",1
James Patterson with Richard DiLallo,1
Cristin Harber,1
Mia Sheridan,1
Dan Brown,1
Elle James and others,1
Jeanne Glidewell,1
Louise Erdrich,1
Jonathan Kellerman and Jesse Kellerman,1
PD James,1
Naomi Wood,1
Ellery Adams,1
Tawny Weber,1
Kate Moretti,1
Kristina McMorris,1
Lisa Van Allen,1
Jean Hanff Korelitz,1
Victoria Hislop,1
Hallie Ephron,1
Jackie Collins,1
Jayne Castle,1
Mina Carter and others,1
Kathryn Shay,1
Emma Jameson,1
J Courtney Sullivan,1
Marc Cameron,1
Raymond Benson,1
JS Cooper,1
Max Monroe,1
Joel C Rosenberg,1
Clive Cussler and Robin Burcell,1
Kate Morton,1
Rachel Van Dyken,1
John Jakes,1
Neal Stephenson,1
Sarah Addison Allen,1
Patrick Rothfuss,1
Chuck Wendig,1
JB Salsbury,1
Neil Gaiman,1
Faye Kellerman,1
Julie Cross and others,1
Michael Crichton and Richard Preston,1
Wendy Lindstrom,1
John Sandford and Ctein,1
Kim van Alkemade,1
Elizabeth Lowell,1
Angela Graham,1
Cora Seton and others,1
Tony Hillerman,1
Wiley Cash,1
James Patterson with Maxine Paetro,1
Darcie Chan,1
Thea Harrison,1
Sarah MacLean,1
Annette Blair and others,1
Cassia Leo,1
Gregg Olsen,1
Jonathan Franzen,1
Lev Grossman,1
Lisa Kleypas,1
Cody McFadyen,1
Shannon Mayer,1
Johanna Lindsey,1
Julie Ann Walker,1
Mark Helprin,1
Barbara Delinsky,1
Emily March,1
Stephen Hunter,1
Author Name,Books Amount
Liane Moriarty,82
Paula Hawkins,82
Gillian Flynn,73
Kristin Hannah,65
David Baldacci,63
Nora Roberts,58
John Grisham,58
Anthony Doerr,57
E L James,55
Donna Tartt,38
Jojo Moyes,38
Diana Gabaldon,36
Michael Connelly,36
Nicholas Sparks,35
Lee Child,31
Andy Weir,31
Christina Baker Kline,29
James Patterson and Maxine Paetro,27
John Sandford,25
Sandra Brown,25
Harlan Coben,25
James Patterson,25
Deborah Bladon,23
Janet Evanovich,22
Stephen King,22
Jodi Picoult,22
Marie Force,18
Debbie Macomber,18
Danielle Steel,18
Daniel Silva,17
Stuart Woods,17
J D Robb,17
Audrey Carlan,16
Fern Michaels,16
James Patterson and Marshall Karp,16
Sue Monk Kidd,15
James Patterson and Michael Ledwidge,15
James Patterson and David Ellis,15
Christine Feehan,15
Ron Carr,15
Lisa Gardner,14
Lauren Blakely,14
Elin Hilderbrand,14
Brad Thor,14
J A Jance,13
Dean Koontz,13
Susan Mallery,13
Jill Shalvis,13
Jonathan Kellerman,13
Jessica Knoll,13
Mark Greaney,12
James Patterson and Mark Sullivan,12
Lisa Scottoline,12
Sylvia Day,12
Maya Banks,12
Kristen Ashley,11
Laurelin Paige,11
Fredrik Backman,10
David Lagercrantz,10
Rachel Hauck,10
Robert Galbraith,10
Cynthia D'Aprix Sweeney,10
Lisa Genova,9
Jeffrey Archer,9
Colleen Hoover,9
Patricia Cornwell,9
J R Ward,9
Anne Tyler,9
Greg Iles,9
JS Cooper and Helen Cooper,9
H M Ward,9
Colson Whitehead,9
Noah Hawley,8
Nalini Singh,8
Catherine Coulter,8
Emily Giffin,8
Kristen Pro,8
Penelope Ward,8
Katy Evans,8
Barbara Freethy,8
Graeme Simsion,8
Jennifer Weiner,8
Jim Butcher,8
Christina Lauren,8
Bella Andre,8
J S Cooper and Helen Cooper,7
Brian McGilloway,7
Abbi Glines,7
Kendall Ryan,7
Karin Slaughter,7
Mary Higgins Clark,7
Harper Lee,7
Vi Keeland,7
Jamie McGuire,7
Dorothea Benton Frank,7
Janet Evanovich and Lee Goldberg,7
Tess Gerritsen,7
J Kenner,6
Iris Johansen,6
K Bromberg,6
Mary Balogh,6
Ann Patchett,6
James Patterson and Howard Roughan,6
Mary Kay Andrews,6
Anna Quindlen,6
George R R Martin,6
Douglas Preston and Lincoln Child,6
Joanna Wylde,6
Tijan,6
Ken Follett,6
Emma Cline,6
Meredith Wild,6
Vince Flynn and Kyle Mills,6
Brad Taylor,6
C J Box,6
Alessandra Torre,6
Denise Grover Swank,6
James Patterson and Michael White,5
Jennifer Ashley,5
Kresley Cole,5
Jay Crownover,5
M L Stedman,5
Helen Hardt,5
Louise Penny,5
Ilona Andrews,5
Sherrilyn Kenyon,5
Kylie Scott,5
Philippa Gregory,5
Lisa Renee Jones,5
Melanie Marchande,5
Aurora Rose Reynolds,5
Jana Aston,5
J S Cooper and Helen Cooper,5
Lynsay Sands,5
Karina Halle,5
Jeffery Deaver,5
Corinne Michaels,5
Darynda Jones,5
J Daniels,5
Fiona Barton,5
Sawyer Bennett,5
Lexi Blake,5
Michael Crichton,4
David Weber,4
Sherryl Woods,4
James Rollins,4
James Patterson and Emily Raymond,4
Vi Keeland and Penelope Ward,4
Laurell K Hamilton,4
Craig Johnson,4
Brandon Sanderson,4
Liliana Hart,4
Nelson DeMille,4
Susan Wiggs,4
Tom Clancy with Mark Greaney,4
Kyle Mills,4
Hazel Gaynor,4
Steve Berry,4
Alice Clayton,4
Colleen Hoover and Tarryn Fisher,4
Harper Sloan,4
Pierce Brown,4
James Hayman,4
Linda Lael Miller,4
Heather Graham,4
J Lynn,4
Patricia Briggs,4
Judy Blume,4
Elizabeth Strout,4
W E B Griffin and William E Butterworth IV,4
Ruth Ware,4
Samantha Young,4
Jodi Ellen Malpas,4
J S Cooper,4
Tana French,4
HM Ward,4
M S Force,4
